Date,Open,High,Low,Close,Volume
03-02-2015,336.3,336.95,326.05,327.8,1537152
04-02-2015,329.45,333,319.25,321.25,2792395
05-02-2015,322,322.7,308.45,312.2,2167857
06-02-2015,311.1,313.95,298.6,300.2,3265593
09-02-2015,296.7,307.9,292.5,300.15,3103409
10-02-2015,298.1,319.7,298.1,317.85,3921257
11-02-2015,319.9,328.9,319,326.1,2148555
12-02-2015,327.7,338,326.8,336.6,3539194
13-02-2015,337.7,344.35,331.55,335.35,2180303
16-02-2015,335.1,341.7,329.65,331.25,2205960
18-02-2015,332.3,335.8,330,333.8,1227170
19-02-2015,335.15,341,323.7,333.85,2643121
20-02-2015,335.05,338.05,326.4,329,1302901
23-02-2015,331,332.4,321.2,323.4,1737238
24-02-2015,323.75,336.9,319.25,334.05,2330482
25-02-2015,336,337.45,326.85,328.2,1467120
26-02-2015,328.1,332.5,322.5,327.3,1775811
27-02-2015,329.4,349.65,327.8,346.25,3025639
28-02-2015,349.9,357.95,326.3,330.75,5648235
02-03-2015,334.5,335.6,325.6,330.35,2592113
03-03-2015,332.5,339.05,332,336.55,2016305
04-03-2015,339.9,343.3,330.1,332,1846535
05-03-2015,332.8,335.4,327.2,333.05,1770268
09-03-2015,331.55,335.9,323.5,325,1825760
10-03-2015,325.05,327.9,314.7,317.55,1215285
11-03-2015,318.9,318.9,302.2,307.8,4828130
12-03-2015,306.55,312,304,310.25,3431277
13-03-2015,312.9,316.3,305,306.25,4356123
16-03-2015,306.7,314.75,303.05,313.3,1629195
17-03-2015,315.3,320.85,310.3,319.55,5158959
18-03-2015,320.05,320.95,312.9,316.65,3069180
19-03-2015,316.15,322.65,310.5,312.9,1470026
20-03-2015,312.9,316.7,306.5,308.15,2049167
23-03-2015,308.3,311.25,302.55,303.85,1387396
24-03-2015,304,309,299,307.1,2447607
25-03-2015,310.15,315.5,309.2,314.75,2456872
26-03-2015,313.55,315.6,303,304.2,3406327
27-03-2015,307.8,307.8,295.4,305,3371344
30-03-2015,306,310,303,308.55,3039118
31-03-2015,311,315.45,305.05,308.2,2590770
01-04-2015,308.45,312.05,306.1,310.95,1026200
06-04-2015,313.75,323.85,311.45,321.25,2039045
07-04-2015,323,325.6,316.65,323.9,1913068
08-04-2015,324.3,325,318,319.15,1317175
09-04-2015,319.7,320.55,312,316.7,1503986
10-04-2015,316.9,323.85,313.5,319.8,2127407
13-04-2015,320.5,331.65,319.55,330.8,2405161
15-04-2015,330.5,333.6,324.25,325.75,1576904
16-04-2015,328,332.4,321.8,327.5,1676768
17-04-2015,327.6,332,321,322.75,1471127
20-04-2015,324.5,324.95,308.3,313.5,2002115
21-04-2015,313.95,320.65,310.25,314.45,1679188
22-04-2015,316.4,318.25,304.75,313.7,2317579
23-04-2015,315,319.85,313.2,318.6,1069160
24-04-2015,319,319,312.95,316.3,1316393
27-04-2015,316.75,323.45,304.55,305.95,2330507
28-04-2015,307,310.8,298.5,306.1,2539436
29-04-2015,308,315.4,305.75,312.85,1566799
30-04-2015,313.05,319.9,308.7,317.55,2916537
04-05-2015,325.55,353,321.05,347.2,6375610
05-05-2015,349.6,351.7,337.95,342.7,4219216
06-05-2015,340.35,344.25,329.05,331.2,2247751
07-05-2015,332.3,332.3,315.4,322.8,1709602
08-05-2015,326.2,340.75,326.2,335.1,2097977
11-05-2015,337.6,345,337.05,344.05,2266220
12-05-2015,343.4,343.4,333.15,334.9,1550748
13-05-2015,336.45,344,334.55,340.45,3022877
14-05-2015,338.4,340,330.75,333.95,3075816
15-05-2015,335.85,338.65,327.05,329,1663198
18-05-2015,330.8,340.55,329.5,339.35,1370344
19-05-2015,338.3,344.9,335.35,339.85,1685421
20-05-2015,340.8,344.45,338.55,343.05,1660453
21-05-2015,344,351,343.55,348.4,2609479
22-05-2015,347.55,354.8,346.8,348.95,2369700
25-05-2015,347.65,350.3,340.35,342.9,1420555
26-05-2015,343.05,350.25,343,345.25,1576396
27-05-2015,343,344.9,336.1,338.9,2585896
28-05-2015,339.9,340.6,320.55,333,3394601
29-05-2015,333.1,334.7,322.55,323.85,3711024
01-06-2015,325.8,325.8,308.25,311.55,3889157
02-06-2015,318.1,321,306.2,309.15,7395219
03-06-2015,311,311.8,288,297.25,24022178
04-06-2015,301,316.35,301,311.2,6343813
05-06-2015,311,315.65,308.7,311.3,2533852
08-06-2015,311.75,313.9,298.25,302.15,2647500
09-06-2015,303.45,311.35,301.2,306.55,2724447
10-06-2015,307,314.25,306.05,312.95,2282770
11-06-2015,320,320.3,302.55,304.25,3718393
12-06-2015,303,313.05,300,312.05,2854243
15-06-2015,310.1,317,308.1,310.05,3154460
16-06-2015,310,315,303.25,313.2,4130581
17-06-2015,312,315,308.4,311,4251580
18-06-2015,312.3,313.7,309.35,311,2616024
19-06-2015,311.95,313.25,303,304.6,3438440
22-06-2015,306,314.5,304.1,311.05,3121416
23-06-2015,311.05,318.4,311.05,316.05,2683470
24-06-2015,316.9,318,309.75,311.55,2241106
25-06-2015,310.8,316.45,308.1,312.55,5190167
26-06-2015,311,315.35,309,311.2,2127770
29-06-2015,306.6,307.5,300.85,306.65,1890624
30-06-2015,305,309.4,305,307.9,2632153
01-07-2015,308.8,312.7,306.5,311.3,2854143
02-07-2015,312.45,319,311.9,316.05,8669541
03-07-2015,319.95,325.75,319,320.8,5189498
06-07-2015,316.95,321.1,316.25,320.1,2853145
07-07-2015,321.8,334.7,321.6,333.05,7877450
08-07-2015,329.4,329.4,318.9,320.65,6546522
09-07-2015,323.4,323.4,312.6,315.15,3521086
10-07-2015,318.75,321.55,315.2,317.1,2531442
13-07-2015,319,322,313.6,321.4,1890469
14-07-2015,322.3,322.75,314,315.9,1960113
15-07-2015,315.9,320.75,315.1,319.65,2112588
